Age,Annual_Income,Total_Debt,Credit_History_Years,Payment_History,Loan_Count,Credit_Utilization_Percent,Late_Payments,Employment_Years,Savings,Number_of_Credit_Cards,Creditworthy
65,246707,166199,29,Average,4,39.9,1,3,38791,1,Yes
48,1481367,668039,24,Average,7,14.9,3,14,1107444,3,Yes
27,641227,349068,21,Excellent,3,51.5,3,9,115398,2,Yes
59,809720,249453,18,Poor,6,20.0,2,23,456158,3,Yes
33,1658016,684322,23,Average,0,92.8,3,11,112322,6,No
44,1496189,711698,26,Average,7,39.1,2,11,1110641,4,Yes
59,1391353,190221,5,Average,7,15.7,0,15,115526,1,No
58,1601174,1054492,26,Excellent,2,15.7,2,27,1161549,1,Yes
46,652779,399530,26,Poor,6,47.5,0,13,145893,0,Yes
59,497650,228759,11,Good,2,71.0,2,10,333773,0,No
48,715426,36661,12,Good,3,23.0,2,9,289081,3,Yes
48,1567695,133457,28,Good,0,69.6,4,2,398165,0,No
55,711111,195296,27,Excellent,1,62.1,1,0,539683,2,Yes
43,371703,114351,24,Average,1,42.0,1,4,155039,0,Yes
51,218635,138061,5,Good,2,50.2,2,24,25623,6,No
61,1728485,311210,9,Excellent,4,17.1,2,15,777266,4,Yes
50,926084,57954,10,Good,1,64.5,1,10,570362,4,No
34,776804,197695,18,Average,5,7.1,1,16,619999,5,Yes
49,583850,67294,4,Good,0,78.8,4,15,21238,1,No
35,1144163,308678,8,Good,6,70.6,2,17,252318,2,No
60,310544,147936,6,Good,1,82.3,2,29,140740,6,No
30,1726236,148286,10,Good,5,20.2,2,12,877756,6,No
64,1624331,344204,4,Good,2,34.6,1,27,229585,3,Yes
30,959383,326486,18,Good,5,34.2,0,11,458688,5,Yes
46,1414897,128327,20,Excellent,0,41.2,0,18,626947,5,Yes
28,1538097,302269,7,Good,6,46.0,3,10,562944,3,No
56,1340291,659329,5,Good,2,5.3,4,21,352915,1,Yes
23,753156,500670,5,Excellent,6,74.7,2,5,373954,1,No
44,601818,389534,29,Good,4,60.5,2,18,125548,6,Yes
45,843689,240166,21,Average,0,38.8,0,16,354847,0,Yes
41,1093320,201021,21,Average,4,5.6,1,23,29544,4,Yes
54,732439,512849,19,Good,1,67.8,2,3,347018,5,No
65,1738028,414341,5,Average,0,70.5,1,30,1106484,6,No
40,929078,320232,7,Average,3,26.2,2,22,354547,2,No
29,306060,158064,21,Average,6,42.5,2,11,39162,6,No
37,955024,472068,9,Poor,1,28.5,1,14,20599,4,No
42,1224327,519610,17,Excellent,5,39.0,5,17,142160,5,Yes
35,1202145,625118,8,Average,4,52.2,2,14,31226,0,No
48,491877,344940,6,Good,0,55.6,1,9,295744,0,No
65,1022000,265484,24,Excellent,2,62.0,1,13,210585,2,Yes
43,884590,455332,6,Average,0,43.6,2,2,42271,3,No
36,497875,295895,24,Good,1,69.4,1,18,201165,6,Yes
44,1260750,726876,9,Excellent,1,86.3,3,10,402580,5,No
56,1304905,555241,1,Excellent,7,55.8,1,6,267121,5,No
60,1668673,1059053,22,Good,7,24.4,2,25,271186,5,Yes
36,1566689,421487,5,Poor,7,27.2,4,18,233138,4,No
33,1259227,814311,23,Good,4,81.7,0,8,756239,4,Yes
23,1059903,584566,30,Poor,3,19.2,4,1,442909,4,Yes
38,594994,316311,4,Good,2,92.8,1,5,355572,3,No
50,373783,274674,24,Average,3,56.9,3,0,24901,5,Yes
29,1598897,1088378,6,Good,6,16.1,1,11,205005,3,Yes
34,1208494,217201,2,Excellent,1,82.8,1,16,693467,4,Yes
49,452647,43283,19,Excellent,5,43.2,1,22,268539,0,Yes
37,1681352,165895,6,Good,3,67.6,2,16,377032,1,No
24,588288,391898,16,Average,1,47.5,2,6,100776,4,No
28,1048374,540402,10,Average,4,48.8,1,10,707430,5,No
46,1010051,175201,12,Good,3,83.5,2,3,39035,4,No
27,529307,120891,18,Average,1,75.2,1,7,12502,5,No
52,975219,195769,19,Good,5,73.1,5,25,55362,3,No
34,209336,76003,25,Average,5,55.2,1,9,103370,1,No
64,1531099,923997,18,Poor,7,50.1,2,15,1106265,5,No
44,417199,202599,5,Good,6,66.1,2,26,141328,1,No
31,1700943,289164,7,Excellent,3,36.0,0,2,1145011,0,No
46,951148,513727,27,Average,4,61.7,1,18,642661,3,No
61,1178413,306049,24,Good,2,15.6,1,22,318597,6,Yes
60,780517,387706,9,Average,7,59.6,2,19,539001,5,No
53,413103,133155,8,Good,5,84.6,2,24,79150,2,No
57,1095113,492245,4,Average,5,52.4,2,10,229318,5,No
65,1576436,93022,5,Good,1,71.8,1,17,479510,3,No
62,1463131,949679,22,Poor,1,89.0,1,10,229069,3,No
31,1522057,259368,13,Poor,7,60.1,2,13,1088856,3,No
37,1113688,666403,13,Good,7,35.4,2,10,859486,2,Yes
29,888140,629695,29,Good,4,56.0,0,11,187346,2,Yes
45,1783546,771047,25,Good,6,24.7,2,17,633722,0,Yes
42,665662,459727,21,Good,4,69.4,1,11,39177,6,No
46,1458723,302677,22,Good,7,77.7,1,13,626242,2,No
25,782272,290978,10,Average,7,9.6,0,7,375551,2,No
40,316643,170687,3,Average,7,72.7,0,7,23229,5,No
48,747760,248474,18,Average,2,34.3,1,11,187289,2,Yes
49,1322384,779279,12,Good,4,6.7,0,17,505388,5,Yes
26,1793236,1267371,11,Good,0,46.7,2,5,642591,4,No
36,1281004,549234,25,Poor,4,68.6,1,17,271914,1,Yes
55,397770,180681,30,Average,2,80.1,4,20,87449,0,Yes
23,1018574,762187,24,Excellent,0,86.9,2,5,44985,3,Yes
51,1346462,49785,13,Average,5,14.1,4,1,643756,1,No
27,893226,416151,8,Average,2,5.7,3,2,136409,0,No
23,829829,611561,15,Good,6,40.3,3,5,170181,0,Yes
26,1378734,1025567,8,Good,3,43.5,5,8,73552,6,No
23,1115129,572239,29,Poor,3,51.6,1,5,551647,6,No
48,664965,207561,18,Poor,6,26.8,1,29,460693,5,No
54,735462,190778,8,Good,3,34.4,1,22,43711,5,Yes
29,1572277,728296,24,Average,7,79.8,1,10,170436,2,No
65,1147561,710176,10,Good,4,58.1,1,11,339464,1,No
65,940109,300535,20,Excellent,7,5.5,0,9,692908,3,Yes
44,927028,93619,21,Good,6,86.5,2,26,576223,1,Yes
61,1518084,764440,20,Average,3,17.5,1,18,1083270,1,Yes
38,1618454,1157257,9,Poor,5,70.3,4,20,182730,2,No
53,698727,26038,7,Excellent,5,58.3,0,4,36322,2,No
43,1213316,588195,8,Good,7,67.8,5,22,874186,0,No
37,1169470,381439,26,Average,5,66.8,0,19,860358,5,Yes
39,1544973,477104,7,Good,2,36.3,2,17,331712,0,Yes
50,963152,563915,11,Poor,7,8.8,1,9,44341,2,Yes
53,556742,77542,18,Average,4,59.1,2,8,157518,1,No
49,701121,419575,25,Good,4,12.1,0,16,290424,2,Yes
41,1013487,533905,17,Average,4,57.8,0,11,134340,0,No
44,180159,29110,7,Good,1,92.4,1,17,103644,3,No
49,1579872,63537,29,Average,2,24.3,1,13,877197,4,Yes
55,934296,166201,26,Average,4,34.8,1,25,491118,1,Yes
44,681174,81916,15,Poor,2,63.4,0,5,41865,3,No
46,1182403,520291,30,Excellent,5,63.2,4,10,410847,0,Yes
48,1785266,430865,19,Good,3,83.4,1,6,1370532,5,Yes
54,1600589,81617,23,Average,7,79.1,3,25,1090628,1,No
47,1170669,491954,11,Good,2,41.6,3,23,543296,5,Yes
48,1795777,878722,29,Poor,1,57.5,1,5,810558,2,Yes
23,1664738,245719,18,Good,6,55.6,2,5,505723,0,No
46,1206657,842773,27,Good,0,71.2,4,14,416600,1,No
22,1192384,362600,1,Excellent,0,57.9,1,4,553594,4,Yes
32,1437008,903281,12,Excellent,1,9.5,3,14,84370,6,No
27,807220,150311,24,Good,7,95.0,1,9,110198,0,No
28,382346,96480,26,Average,0,63.4,3,10,48766,2,No
49,696835,483588,12,Good,6,46.0,1,14,110221,0,No
25,317478,172496,25,Average,1,41.2,1,5,117759,2,Yes
28,1681681,1206589,30,Average,1,49.4,1,10,468041,1,Yes
38,494063,307349,22,Average,0,65.9,4,20,149867,6,Yes
63,1792972,1196225,20,Average,0,5.0,0,9,847451,2,Yes
61,618080,290897,26,Average,3,81.7,4,3,74337,1,No
25,437681,52561,23,Good,4,9.7,0,7,276779,6,Yes
37,1658768,852807,21,Good,1,76.9,2,17,324447,6,No
45,556794,394174,7,Good,5,52.0,1,19,269691,6,Yes
61,384535,148452,11,Good,3,86.2,0,0,199314,0,No
45,241929,44375,14,Excellent,4,34.1,4,5,125938,1,Yes
26,708423,80891,12,Good,2,62.3,3,0,341533,6,No
62,1692760,686932,16,Average,4,7.2,1,0,710455,4,Yes
60,371420,185081,24,Average,7,40.8,2,13,217680,2,Yes
27,583082,24003,23,Poor,1,94.9,4,9,318679,3,No
54,1297698,929859,16,Good,5,62.1,3,26,223136,4,Yes
54,554313,363120,7,Average,3,20.0,1,20,95067,1,Yes
61,243936,139507,6,Good,5,73.9,3,23,166976,6,No
51,1760209,800477,23,Average,4,77.8,3,16,90275,6,No
46,1041069,598157,8,Average,3,83.7,4,19,723950,6,No
43,1798243,1150940,23,Average,1,54.8,2,5,764279,2,No
46,629830,105385,16,Good,0,40.1,1,18,405393,2,Yes
50,1452037,189139,17,Good,5,37.8,1,6,670370,3,Yes
52,1730173,147178,26,Good,4,74.5,2,27,256466,4,Yes
27,758533,360694,4,Good,5,35.4,1,3,519722,0,No
65,1786107,281452,16,Average,3,63.1,3,25,419918,4,No
42,1742579,181659,1,Average,4,89.3,4,10,283165,2,No
57,1430617,253302,6,Average,6,69.7,1,15,914688,6,No
44,1450660,554661,3,Poor,0,64.7,0,2,1158599,5,No
44,908342,565894,13,Good,2,61.0,7,24,535639,2,No
25,1490267,606512,14,Good,5,87.0,1,7,412351,6,No
34,328702,182446,10,Good,6,22.5,2,9,152725,6,No
65,1065421,604032,7,Average,5,65.4,3,9,24926,4,No
62,658356,103712,21,Poor,5,70.3,5,11,466069,0,No
37,1540398,277554,5,Excellent,7,52.4,1,6,1010286,1,No
36,1228173,885907,27,Average,3,17.1,0,5,369029,0,Yes
22,242507,120216,27,Poor,0,13.7,4,4,142042,5,Yes
36,1212766,345727,7,Average,2,32.2,2,10,390586,4,No
49,840858,134515,26,Average,0,69.1,0,15,607304,4,Yes
35,1096383,493587,5,Average,6,47.8,3,10,46505,3,No
25,1686145,1106710,7,Good,2,11.5,2,7,295581,4,No
42,1263170,608583,24,Good,2,71.1,0,3,363235,5,No
48,1645461,1152361,7,Average,6,63.0,0,12,122892,6,No
43,1321154,637420,12,Good,2,19.9,3,16,194695,4,Yes
58,1226238,118161,7,Good,3,81.3,1,9,105590,3,No
50,1412541,533310,13,Good,4,25.9,2,28,779334,2,Yes
21,1799471,638654,29,Average,1,68.9,1,3,864672,0,Yes
33,1364446,249099,22,Excellent,0,41.4,2,9,193247,2,Yes
65,740592,459255,10,Average,7,12.4,3,18,203582,5,No
49,1627947,604432,15,Excellent,7,35.5,0,1,305286,3,Yes
57,690470,227455,24,Good,6,63.2,2,2,101581,0,No
64,1413741,767944,22,Excellent,5,32.1,1,13,845887,0,Yes
59,1256717,291995,26,Good,2,88.5,0,9,52761,2,No
26,381260,31927,20,Average,1,14.8,1,7,99806,6,Yes
58,1757222,1069328,1,Good,6,38.0,0,29,1002656,4,No
23,859447,603661,29,Good,0,84.9,5,5,542371,4,No
30,197297,38952,16,Good,7,83.6,1,12,8721,6,No
45,486094,93345,12,Average,1,41.1,0,26,18847,0,Yes
43,1068544,696014,24,Poor,3,21.6,1,25,812824,1,Yes
41,1339608,203251,7,Average,1,79.5,2,1,828439,2,No
22,418389,289508,17,Excellent,6,7.6,2,4,164861,5,Yes
40,1047869,778630,6,Good,0,11.4,3,13,227604,6,Yes
44,859682,404771,21,Average,3,33.6,0,18,223559,2,Yes
28,1060112,621887,24,Good,7,42.6,2,3,183389,3,Yes
26,1425077,340338,21,Good,1,34.0,2,8,718129,3,Yes
29,853590,534088,12,Good,6,72.7,1,9,286449,3,No
27,711972,27976,25,Poor,2,16.7,3,6,522971,5,Yes
43,872148,112831,25,Excellent,0,68.6,4,15,127051,0,Yes
32,1070083,200197,10,Average,2,18.8,4,14,743546,3,No
22,1647019,852795,2,Good,7,53.1,3,4,613712,4,No
50,1348544,759117,4,Excellent,6,69.6,2,14,187034,6,No
29,699777,360757,4,Good,2,87.8,0,11,52384,5,No
37,1433733,230089,29,Poor,3,34.4,1,17,1064279,5,Yes
43,212441,6515,7,Good,2,91.6,0,19,92667,3,No
45,873206,397280,26,Good,3,13.4,0,27,635954,6,Yes
30,1326237,396192,10,Average,0,11.8,0,12,511312,1,Yes
60,259973,93572,20,Good,1,36.5,3,9,135470,2,Yes
48,994604,716930,26,Excellent,4,15.5,2,24,557611,5,Yes
50,1323051,324311,3,Good,3,20.0,3,8,223414,4,No
37,1518106,380069,15,Excellent,4,9.6,0,18,831121,4,Yes
57,1402613,238536,20,Average,0,89.6,1,5,335274,4,No
49,1150834,212844,17,Excellent,2,69.4,3,16,261340,1,No
21,1211008,562269,23,Good,2,68.4,2,3,829299,3,Yes
39,510817,299765,26,Good,2,17.5,1,10,145257,2,Yes
62,642785,159012,5,Good,3,11.5,1,20,291350,1,Yes
45,401373,115596,27,Excellent,4,9.9,1,23,55954,2,Yes
52,1089245,381975,4,Average,4,59.9,1,5,741696,4,No
27,1263868,749174,27,Excellent,1,86.8,2,9,298158,3,Yes
50,722777,258787,4,Average,4,73.5,4,16,71055,2,No
46,1241339,837949,12,Average,6,38.5,1,28,300966,2,Yes
49,183191,8416,16,Average,0,70.9,2,5,94163,0,No
54,1159947,338501,2,Good,2,68.4,2,18,291411,5,No
52,1051522,387317,29,Good,4,84.2,0,6,399975,0,Yes
61,1596842,743305,11,Excellent,3,87.0,2,13,836879,3,No
47,416281,120327,11,Good,3,78.7,1,18,176277,0,Yes
34,599139,405213,26,Good,4,57.6,2,0,342459,1,Yes
34,1445804,1050836,15,Good,2,37.0,3,16,439598,5,Yes
50,741672,55001,13,Excellent,3,51.8,3,6,320874,1,No
53,209301,74110,14,Poor,7,31.0,3,30,118292,4,Yes
31,359635,62186,12,Average,4,89.4,2,9,140050,0,No
51,1201318,72355,9,Good,2,63.6,2,3,714633,3,No
56,990904,441979,27,Excellent,1,22.6,3,11,742552,4,Yes
26,1404648,809010,29,Good,1,66.8,2,8,683041,2,Yes
61,1511598,988178,17,Good,6,75.7,3,10,945538,3,No
22,1076816,223252,12,Average,1,15.4,2,1,303071,3,Yes
46,801827,322195,4,Excellent,4,16.0,3,10,430074,4,No
64,1123693,545027,2,Poor,7,27.2,0,15,90616,4,No
55,1516092,226743,2,Good,5,30.3,1,14,955396,4,No
59,928321,546848,15,Good,7,23.9,2,12,695491,3,Yes
23,906331,320244,17,Poor,4,54.7,3,5,381659,1,No
37,931518,302316,14,Average,5,7.8,3,4,74594,5,No
55,1670687,1021084,26,Average,0,86.8,3,14,1326437,4,Yes
53,1572291,973216,20,Good,2,62.9,3,14,865906,4,No
46,1434311,572084,3,Good,2,7.7,3,26,504891,0,Yes
51,1711192,912963,6,Average,3,82.9,3,7,392373,3,No
64,187461,80278,25,Excellent,5,53.8,2,13,34926,2,Yes
27,1039414,735610,13,Good,0,68.2,0,9,738364,3,Yes
25,344074,244077,14,Good,3,92.1,1,7,223341,1,No
63,1585568,1179784,25,Average,1,34.7,2,19,55956,6,Yes
42,243530,57367,3,Average,7,61.9,2,18,127924,6,No
30,1766757,214677,18,Good,6,54.1,4,12,375676,3,No
52,267468,17747,20,Excellent,1,51.0,0,30,89103,5,Yes
36,1159114,426008,14,Average,7,40.5,1,0,47008,4,No
26,1433499,611158,12,Excellent,3,94.8,2,8,686246,3,No
34,1519838,522314,30,Excellent,7,35.5,2,16,617742,0,Yes
47,1356410,902784,2,Excellent,1,56.4,1,6,599502,0,Yes
53,1550073,1009625,8,Good,6,35.3,4,28,1103418,1,No
38,429768,212447,23,Average,0,23.5,1,15,51098,6,Yes
33,1044950,410199,6,Good,5,22.6,0,5,681412,0,No
55,885475,636258,23,Excellent,4,51.3,2,12,382345,0,Yes
21,1238079,385468,21,Good,4,26.2,1,3,155624,2,Yes
59,500752,74375,3,Good,3,85.6,2,6,183662,3,No
28,413077,207468,10,Good,2,55.6,2,5,157798,3,No
51,190651,121001,16,Excellent,0,17.6,1,11,8479,6,Yes
24,453146,56793,24,Good,5,90.6,4,6,323197,1,No
57,1329265,323924,14,Excellent,2,7.1,0,25,449270,5,Yes
61,572136,307083,24,Good,2,40.4,1,23,205564,1,Yes
22,491955,41261,9,Excellent,4,54.3,0,4,175908,6,No
32,691083,290655,6,Excellent,7,89.8,1,0,406194,0,No
65,1046183,78946,6,Good,5,79.1,2,1,99352,4,No
36,821269,297732,30,Excellent,6,78.0,1,18,168191,5,Yes
35,190207,116699,9,Good,4,45.8,0,12,102919,2,No
24,698652,107536,30,Good,2,47.8,1,6,97234,6,Yes
53,915036,70731,19,Poor,5,78.4,2,27,486673,5,No
61,409189,33161,12,Excellent,0,23.1,4,3,265137,6,Yes
62,427199,62810,15,Poor,2,27.5,0,16,260251,5,Yes
26,346277,54599,19,Average,5,54.3,0,8,12273,4,Yes
54,388786,207139,9,Good,2,50.5,3,9,9747,3,No
64,693313,197699,2,Poor,2,72.4,3,27,440409,0,No
58,1507579,993781,1,Average,6,22.5,2,22,331847,3,No
33,731050,217497,4,Excellent,1,75.8,2,14,379439,1,No
32,1718112,582987,23,Good,4,39.3,2,12,279158,4,Yes
52,1735157,982464,2,Good,1,19.3,4,10,783467,0,No
59,1285710,617122,1,Poor,6,58.0,2,9,109223,3,No
45,744046,499812,24,Good,1,47.6,6,24,116233,2,Yes
49,1706318,878865,9,Excellent,5,41.3,1,6,511429,4,No
39,675479,273200,18,Good,5,50.7,2,15,104339,1,Yes
32,1671633,554916,16,Good,0,34.6,2,7,788542,3,Yes
24,264761,62443,22,Good,6,37.4,1,2,57617,6,Yes
55,508821,148862,10,Poor,2,47.8,2,1,297328,3,No
38,332889,201748,5,Poor,5,50.4,2,20,89522,5,No
30,1365820,472777,15,Good,6,68.7,5,12,967061,1,No
60,674178,209486,10,Excellent,7,6.7,2,2,236808,6,Yes
30,1059381,173175,22,Average,3,25.9,0,12,217268,4,Yes
34,1637640,588501,7,Good,2,7.6,0,16,914019,0,Yes
53,851009,418954,14,Average,5,86.1,2,19,182082,4,No
56,1365493,365791,26,Good,0,90.7,1,4,1052207,1,Yes
59,237022,156031,24,Average,1,49.0,4,5,107470,5,Yes
21,1492743,90291,23,Average,2,65.5,4,3,1093605,3,No
33,760780,414276,8,Good,6,23.7,2,13,321931,0,No
57,1758638,880086,17,Excellent,1,22.8,3,29,958328,5,Yes
31,1621985,178449,23,Good,5,44.8,0,6,239465,6,Yes
56,1297063,721470,9,Average,4,90.8,1,24,712173,6,No
32,345575,178852,10,Excellent,6,56.8,4,14,45639,3,No
43,1325298,880960,21,Good,3,35.4,1,21,974744,6,Yes
29,984565,468775,16,Average,6,18.2,1,11,65210,1,Yes
27,1340932,795392,18,Average,0,80.0,1,9,236565,4,No
25,1498719,381299,7,Average,4,86.3,5,7,800214,0,No
50,872095,286629,2,Good,1,61.1,0,11,197904,5,No
43,1153181,154479,16,Average,1,41.2,4,23,464988,2,Yes
63,370237,222745,10,Good,3,69.9,1,20,46792,5,No
58,1646760,324289,28,Average,5,35.5,2,24,1101664,0,Yes
62,284211,190660,26,Average,0,64.4,0,17,65572,2,Yes
22,1004143,466659,19,Average,3,67.7,0,4,528475,5,Yes
25,754100,94274,18,Good,6,85.6,0,6,300928,6,No
62,1155217,490486,25,Good,6,32.1,2,12,157262,2,Yes
52,1262424,60566,24,Excellent,1,90.4,1,8,102565,3,Yes
58,742621,257829,2,Good,2,72.5,0,3,583477,5,No
32,586140,311152,23,Average,6,72.2,1,8,348728,4,Yes
51,1208400,378001,10,Good,3,6.1,5,11,535648,3,Yes
27,341445,237462,27,Average,7,51.9,1,2,242067,4,No
22,829991,550388,17,Good,5,8.7,1,4,186558,2,Yes
64,1162469,126015,7,Excellent,2,6.7,1,0,253874,5,Yes
57,229104,131221,23,Good,6,23.3,1,3,155264,4,Yes
33,449160,216233,13,Average,5,94.2,0,15,253901,5,No
35,1060412,710152,21,Poor,7,39.2,1,17,511373,1,Yes
57,1676906,500971,10,Good,1,91.6,0,20,419345,4,No
55,610599,73881,19,Excellent,3,30.2,2,27,366552,6,Yes
49,983585,39867,26,Good,5,87.1,0,7,543007,1,No
46,1656402,782534,6,Average,1,62.6,1,12,138444,5,No
60,994422,452015,16,Excellent,2,27.9,1,5,491796,5,Yes
46,1549277,72728,19,Average,6,51.1,0,9,701312,4,No
31,474746,127763,29,Average,1,87.6,2,13,204258,0,No
45,499972,56324,21,Good,2,88.7,4,22,131672,1,No
31,665757,394303,19,Good,0,72.9,2,13,447166,3,Yes
